time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-06 00:00:00+00:00,3.0,1.0,91,8
2024-01-07 00:00:00+00:00,,,89,11
2024-01-08 00:00:00+00:00,3.0,1.0,25,8
2024-01-09 00:00:00+00:00,3.0,1.0,77,7
2024-01-10 00:00:00+00:00,2.0,2.0,14,3
2024-01-11 00:00:00+00:00,,,118,11
2024-01-12 00:00:00+00:00,,,101,16
2024-01-13 00:00:00+00:00,2.0,2.0,29,8
2024-01-14 00:00:00+00:00,,,40,10
2024-01-15 00:00:00+00:00,,,34,5
2024-01-16 00:00:00+00:00,1.0,1.0,34,8
2024-01-17 00:00:00+00:00,2.0,2.0,65,5
2024-01-18 00:00:00+00:00,,,38,8
2024-01-19 00:00:00+00:00,,,9,4
