time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-08 00:00:00+00:00,,,27,9
2024-06-09 00:00:00+00:00,,,22,8
2024-06-10 00:00:00+00:00,1.0,1.0,71,12
2024-06-11 00:00:00+00:00,2.0,2.0,105,14
2024-06-12 00:00:00+00:00,1.0,1.0,66,14
2024-06-13 00:00:00+00:00,,,77,15
2024-06-14 00:00:00+00:00,1.0,1.0,42,4
2024-06-15 00:00:00+00:00,1.0,1.0,157,7
2024-06-16 00:00:00+00:00,,,65,7
2024-06-17 00:00:00+00:00,,,27,10
2024-06-18 00:00:00+00:00,,,86,7
2024-06-19 00:00:00+00:00,,,65,9
2024-06-20 00:00:00+00:00,,,35,4
2024-06-21 00:00:00+00:00,,,34,5
