time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,2,2,33,10
2026-03-30 00:00:00+00:00,1,1,27,15
2026-03-31 00:00:00+00:00,0,0,29,12
2026-04-01 00:00:00+00:00,0,0,51,20
2026-04-02 00:00:00+00:00,1,1,136,26
2026-04-03 00:00:00+00:00,2,2,28,14
2026-04-04 00:00:00+00:00,0,0,44,18
2026-04-05 00:00:00+00:00,5,5,33,11
2026-04-06 00:00:00+00:00,2,2,60,20
2026-04-07 00:00:00+00:00,2,2,6,5
2026-04-08 00:00:00+00:00,1,1,30,12
2026-04-09 00:00:00+00:00,1,1,33,7
2026-04-10 00:00:00+00:00,1,1,19,9
2026-04-11 00:00:00+00:00,2,2,34,11
