time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-30 00:00:00+00:00,5,4,56,15
2025-12-31 00:00:00+00:00,2,2,47,10
2026-01-01 00:00:00+00:00,3,3,28,5
2026-01-02 00:00:00+00:00,3,3,22,8
2026-01-03 00:00:00+00:00,2,2,39,12
2026-01-04 00:00:00+00:00,3,3,65,11
2026-01-05 00:00:00+00:00,2,2,83,14
2026-01-06 00:00:00+00:00,3,3,29,13
2026-01-07 00:00:00+00:00,3,3,27,11
2026-01-08 00:00:00+00:00,3,3,77,17
2026-01-09 00:00:00+00:00,2,2,31,12
2026-01-10 00:00:00+00:00,2,2,81,18
2026-01-11 00:00:00+00:00,6,4,73,10
2026-01-12 00:00:00+00:00,3,3,94,26
