time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-20 00:00:00+00:00,2.0,2.0,36,6
2025-11-21 00:00:00+00:00,3.0,3.0,27,9
2025-11-22 00:00:00+00:00,2.0,2.0,29,11
2025-11-23 00:00:00+00:00,2.0,2.0,46,17
2025-11-24 00:00:00+00:00,2.0,2.0,24,12
2025-11-25 00:00:00+00:00,2.0,2.0,39,19
2025-11-26 00:00:00+00:00,2.0,2.0,30,13
2025-11-27 00:00:00+00:00,2.0,2.0,10,5
2025-11-28 00:00:00+00:00,1.0,1.0,10,4
2025-11-29 00:00:00+00:00,,,19,6
2025-11-30 00:00:00+00:00,,,30,8
2025-12-01 00:00:00+00:00,,,16,7
2025-12-02 00:00:00+00:00,2.0,2.0,30,12
2025-12-03 00:00:00+00:00,3.0,3.0,54,22
