time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-29 00:00:00+00:00,,,19,2
2023-12-30 00:00:00+00:00,3.0,1.0,14,3
2023-12-31 00:00:00+00:00,1.0,1.0,12,4
2024-01-01 00:00:00+00:00,2.0,1.0,24,3
2024-01-02 00:00:00+00:00,3.0,1.0,56,8
2024-01-03 00:00:00+00:00,,,70,8
2024-01-04 00:00:00+00:00,1.0,1.0,44,8
2024-01-05 00:00:00+00:00,,,68,9
2024-01-06 00:00:00+00:00,3.0,1.0,91,8
2024-01-07 00:00:00+00:00,,,89,11
2024-01-08 00:00:00+00:00,3.0,1.0,25,8
2024-01-09 00:00:00+00:00,3.0,1.0,77,7
2024-01-10 00:00:00+00:00,2.0,2.0,14,3
2024-01-11 00:00:00+00:00,,,110,10
