time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-07 00:00:00+00:00,3,3,27,11
2026-01-08 00:00:00+00:00,3,3,77,17
2026-01-09 00:00:00+00:00,2,2,31,12
2026-01-10 00:00:00+00:00,2,2,81,18
2026-01-11 00:00:00+00:00,6,4,73,10
2026-01-12 00:00:00+00:00,3,3,94,26
2026-01-13 00:00:00+00:00,2,2,199,17
2026-01-14 00:00:00+00:00,3,3,67,17
2026-01-15 00:00:00+00:00,2,2,149,35
2026-01-16 00:00:00+00:00,4,4,64,18
2026-01-17 00:00:00+00:00,13,11,10,4
2026-01-18 00:00:00+00:00,2,2,25,7
2026-01-19 00:00:00+00:00,59,14,62,20
2026-01-20 00:00:00+00:00,5,5,69,25
