time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-03 00:00:00+00:00,4.0,4.0,144,34
2025-11-04 00:00:00+00:00,5.0,4.0,71,18
2025-11-05 00:00:00+00:00,2.0,2.0,52,18
2025-11-06 00:00:00+00:00,3.0,3.0,72,16
2025-11-07 00:00:00+00:00,,,52,19
2025-11-08 00:00:00+00:00,1.0,1.0,27,14
2025-11-09 00:00:00+00:00,,,27,9
2025-11-10 00:00:00+00:00,2.0,2.0,88,27
2025-11-11 00:00:00+00:00,2.0,2.0,32,11
2025-11-12 00:00:00+00:00,2.0,2.0,32,16
2025-11-13 00:00:00+00:00,3.0,3.0,18,9
2025-11-14 00:00:00+00:00,2.0,2.0,32,11
2025-11-15 00:00:00+00:00,2.0,2.0,21,9
2025-11-16 00:00:00+00:00,3.0,3.0,25,12
