time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,1.0,1.0,147,20
2024-05-30 00:00:00+00:00,1.0,1.0,95,19
2024-05-31 00:00:00+00:00,,,150,21
2024-06-01 00:00:00+00:00,1.0,1.0,322,30
2024-06-02 00:00:00+00:00,1.0,1.0,373,33
2024-06-03 00:00:00+00:00,1.0,1.0,395,30
2024-06-04 00:00:00+00:00,,,93,16
2024-06-05 00:00:00+00:00,,,34,5
2024-06-06 00:00:00+00:00,,,14,8
2024-06-07 00:00:00+00:00,,,35,7
2024-06-08 00:00:00+00:00,,,27,9
2024-06-09 00:00:00+00:00,,,22,8
2024-06-10 00:00:00+00:00,1.0,1.0,71,12
2024-06-11 00:00:00+00:00,2.0,2.0,105,14
