time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-11 00:00:00+00:00,,,34,7
2023-11-12 00:00:00+00:00,,,70,9
2023-11-13 00:00:00+00:00,1.0,1.0,81,11
2023-11-14 00:00:00+00:00,,,67,8
2023-11-15 00:00:00+00:00,,,33,8
2023-11-16 00:00:00+00:00,,,42,5
2023-11-17 00:00:00+00:00,,,39,10
2023-11-18 00:00:00+00:00,,,147,16
2023-11-19 00:00:00+00:00,,,14,5
2023-11-20 00:00:00+00:00,,,96,12
2023-11-21 00:00:00+00:00,4.0,2.0,52,9
2023-11-22 00:00:00+00:00,3.0,1.0,12,5
2023-11-23 00:00:00+00:00,2.0,2.0,87,11
2023-11-24 00:00:00+00:00,3.0,1.0,37,9
