time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-17 00:00:00+00:00,2.0,2.0,16,4
2025-02-18 00:00:00+00:00,,,24,8
2025-02-19 00:00:00+00:00,1.0,1.0,20,7
2025-02-20 00:00:00+00:00,,,19,4
2025-02-21 00:00:00+00:00,,,19,3
2025-02-22 00:00:00+00:00,1.0,1.0,4,2
2025-02-23 00:00:00+00:00,1.0,1.0,14,4
2025-02-24 00:00:00+00:00,,,112,17
2025-02-25 00:00:00+00:00,,,111,27
2025-02-26 00:00:00+00:00,2.0,2.0,117,13
2025-02-27 00:00:00+00:00,1.0,1.0,36,11
2025-02-28 00:00:00+00:00,2.0,2.0,75,12
2025-03-01 00:00:00+00:00,,,106,10
2025-03-02 00:00:00+00:00,23.0,18.0,88,17
