time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,,,41,14
2025-04-02 00:00:00+00:00,1.0,1.0,30,13
2025-04-03 00:00:00+00:00,,,21,10
2025-04-04 00:00:00+00:00,,,268,37
2025-04-05 00:00:00+00:00,1.0,1.0,45,14
2025-04-06 00:00:00+00:00,1.0,1.0,82,16
2025-04-07 00:00:00+00:00,,,90,24
2025-04-08 00:00:00+00:00,4.0,4.0,107,22
2025-04-09 00:00:00+00:00,1.0,1.0,81,14
2025-04-10 00:00:00+00:00,4.0,4.0,130,26
2025-04-11 00:00:00+00:00,1.0,1.0,98,19
2025-04-12 00:00:00+00:00,,,28,10
2025-04-13 00:00:00+00:00,,,41,12
2025-04-14 00:00:00+00:00,,,95,18
