time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-31 00:00:00+00:00,,,10,5
2025-01-01 00:00:00+00:00,,,33,10
2025-01-02 00:00:00+00:00,,,15,7
2025-01-03 00:00:00+00:00,,,11,5
2025-01-04 00:00:00+00:00,,,37,9
2025-01-05 00:00:00+00:00,,,85,21
2025-01-06 00:00:00+00:00,1.0,1.0,37,15
2025-01-07 00:00:00+00:00,1.0,1.0,36,18
2025-01-08 00:00:00+00:00,,,30,17
2025-01-09 00:00:00+00:00,,,22,8
2025-01-10 00:00:00+00:00,,,21,9
2025-01-11 00:00:00+00:00,,,63,10
2025-01-12 00:00:00+00:00,,,73,17
2025-01-13 00:00:00+00:00,,,93,20
