time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-27 00:00:00+00:00,,,109,18
2024-03-28 00:00:00+00:00,4.0,4.0,38,11
2024-03-29 00:00:00+00:00,3.0,2.0,51,10
2024-03-30 00:00:00+00:00,1.0,1.0,51,8
2024-03-31 00:00:00+00:00,,,80,15
2024-04-01 00:00:00+00:00,,,114,18
2024-04-02 00:00:00+00:00,,,156,19
2024-04-03 00:00:00+00:00,,,117,15
2024-04-04 00:00:00+00:00,,,60,11
2024-04-05 00:00:00+00:00,1.0,1.0,20,6
2024-04-06 00:00:00+00:00,,,78,11
2024-04-07 00:00:00+00:00,3.0,3.0,73,11
2024-04-08 00:00:00+00:00,3.0,3.0,149,16
2024-04-09 00:00:00+00:00,1.0,1.0,77,13
