url_path,views_total,views_unique
/mcmarius/pbd,12,8
/mcmarius/pbd/blob/master/laboratoare.md,5,2
/mcmarius/pbd/blob/master/scripts/hr/oracle_hr_create.sql,2,2
/mcmarius/pbd/blob/master/scripts/hr/oracle_hr_project.sql,2,2
/mcmarius/pbd/blob/master/diverse.md,1,1
/mcmarius/pbd/blob/master/README.md,1,1
/mcmarius/pbd/blob/master/rezumat.md,1,1
/mcmarius/pbd/blob/master/scripts/hr/oracle_23_hr_create.sql,1,1
/mcmarius/pbd/blob/master/scripts/hr/oracle_23_schema_video.sql,1,1
/mcmarius/pbd/commits,1,1
